Reference,number,water_depth_m,area_m2,volume_m3,porosity,voids_m3,HLR_lit_m2d,daily_flow_lit,OLR_gCOD_m2d,HRT_h,HRT_days,air_flow_m3h,aer_duration_h_day,air_per_day_m3,air_per_HRT_m3,COD_IN,COD_OUT,deltaCOD,CBOD_IN,CBOD_OUT,deltaCBOD,TKN_IN,TKN_OUT,deltaTKN,NH4_IN,NH4_OUT,deltaNH4,OCR_max_v,OCR_int_v,OCR_min_v,OCR_max_a,OCR_int_a,OCR_min_a,OC_max,OC_int,OC_min,OI,AE_max,AE_int,AE_min
"(Araya et al., 2016)",1a,0.15,0.063,0.00945,,0.0014175,15.873015873015873,1.0,4.444444444444445,72.0,3.0,0.24,24,5.76,17.28,280.0,98.0,182.0,,,,,,,114.0,27.36,86.64,61.43322751322751,25.215661375661377,15.586031746031747,9.214984126984126,3.782349206349206,15.586031746031747,1.7416319999999998,0.7148639999999999,0.441864,4408.992,0.03950181810264588,0.016213774032694535,0.010021882552754702
"(Araya et al., 2016)",1b,0.15,0.063,0.00945,,0.0014175,15.873015873015873,1.0,6.317460317460318,72.0,3.0,0.24,1,0.24,0.72,398.0,159.20000000000002,238.79999999999998,,,,,,,112.0,72.80000000000001,39.19999999999999,44.35132275132275,19.686772486772483,7.0518518518518505,6.6526984126984114,2.9530158730158726,7.0518518518518505,1.2573599999999998,0.55812,0.19991999999999993,183.70799999999997,0.6844339930759715,0.30380821738846564,0.1088248742569685
"(Araya et al., 2016)",1c,0.15,0.063,0.00945,,0.0014175,15.873015873015873,1.0,5.396825396825397,72.0,3.0,0.24,4,0.96,2.88,340.0,88.4,251.6,,,,,,,54.0,11.339999999999996,42.660000000000004,47.39005291005291,20.986455026455026,7.674285714285714,7.108507936507936,3.147968253968254,7.674285714285714,1.343508,0.594966,0.217566,734.8319999999999,0.18283199425175317,0.08096626167613816,0.029607583774255
"(Auvinen et al., 2017)",2a,0.75,1.0,0.75,0.4,0.30000000000000004,360.0,360.0,60.480000000000004,24.0,1.0,1.38,24,33.12,33.12,168.0,26.0,142.0,,,,,,,24.0,0.0,24.0,121.152,53.663999999999994,19.584,90.864,40.248,19.584,90.864,40.248,14.688,8450.568,1.0752413328902815,0.47627567756391753,0.1738108018301267
"(Auvinen et al., 2017)",2b,0.75,1.0,0.75,0.4,0.30000000000000004,680.0,680.0,150.96,12.0,0.5,1.38,24,33.12,16.56,222.0,29.0,193.0,,,,,,,33.0,5.6,27.4,289.26293333333336,129.7258666666667,42.232533333333336,216.9472,97.29440000000001,42.232533333333336,108.4736,48.647200000000005,15.837200000000001,4225.284,2.567249917402008,1.1513356261969692,0.3748197754281118
"(Auvinen et al., 2017)",2c,0.75,1.0,0.75,0.4,0.30000000000000004,200.0,200.0,133.4,48.0,2.0,1.38,24,33.12,66.24,667.0,113.0,554.0,,,,,,,42.0,1.8,40.2,197.04533333333336,92.09066666666668,18.224,147.78400000000002,69.06800000000001,18.224,295.56800000000004,138.13600000000002,27.336000000000002,16901.136,1.7488055240783773,0.8173178418302687,0.16174060725858505
"(Auvinen et al., 2017)",2d,0.75,1.0,0.75,0.4,0.30000000000000004,200.0,200.0,33.6,48.0,2.0,1.38,12,16.56,33.12,168.0,26.0,142.0,,,,,,,24.0,0.0,24.0,67.30666666666667,29.813333333333333,10.88,50.480000000000004,22.36,10.88,100.96000000000001,44.72,16.32,8450.568,1.1947125921003077,0.5291951972932393,0.19312311314458047
"(Boog et al., 2014)",3a,0.8,6.2,4.960000000000001,0.4,2.0,95.0,589.0,26.884999999999998,84.0,3.5,2.196,24,52.70400000000001,184.46400000000003,,,,283.0,2.8,280.2,91.10000000000001,15.8,75.30000000000001,,,,91.04324999999999,48.47493749999998,15.201187499999998,72.8346,38.77994999999999,15.201187499999998,1580.51082,841.524915,263.89261500000003,47065.98960000001,3.358074128329818,1.787968174369379,0.5606864261067125
"(Boog et al., 2014)",3b,0.8,6.2,4.960000000000001,0.4,2.0,95.0,589.0,26.884999999999998,84.0,3.5,2.196,16,35.136,122.97600000000001,,,,283.0,3.3,279.7,91.1,13.2,77.89999999999999,,,,92.37443749999997,48.94043749999998,15.726062499999996,73.89954999999999,39.15234999999999,15.726062499999996,1603.6202349999999,849.6059949999999,273.004445,31377.326400000005,5.110761237452016,2.7077067821814094,0.8700691751735693
"(Butterworth et al., 2013)",4,0.55,100.0,55.00000000000001,0.4,30.250000000000007,272.0,27200.0,19.4,26.69117647058824,1.1121323529411766,150.0,24,3600.0,4003.676470588236,,,,10.3,4.3,6.000000000000001,,,,11.4,0.1,11.3,30.157381818181815,12.467490909090909,9.500218181818182,16.58656,6.857120000000001,9.500218181818182,1844.645,762.6025000000002,581.1025000000001,1021538.0514705883,0.1805752607398716,0.07465238312975303,0.056885056720451306
"(Fan et al., 2013a)",5a,0.6,0.031400000000000004,0.018840000000000003,,0.006594000000000001,207.0,6.4998000000000005,72.86399999999999,72.0,3.0,0.12,4,0.48,1.44,352.0,13.0,339.0,,,,46.1,0.5999999999999943,45.50000000000001,,,,189.1635,85.16325000000002,26.685750000000006,113.4981,51.09795000000001,26.685750000000006,10.691521020000003,4.8134268900000015,1.5082785900000004,367.41599999999994,2.9099225455614297,1.3100754703115862,0.41050977366254465
"(Fan et al., 2013a)",5b,0.6,0.031400000000000004,0.018840000000000003,,0.006594000000000001,207.0,6.4998000000000005,72.86399999999999,72.0,3.0,0.12,24,2.88,8.64,352.0,10.0,342.0,,,,46.1,1.4000000000000004,44.7,,,,188.9289,85.21155,26.21655,113.35734000000001,51.12693,26.21655,10.678261428000003,4.816156806000001,1.4817594060000003,2204.496,0.4843856114050577,0.21846974573780042,0.06721533656672715
