authors,title,keywords,periodical,id
"Liu, FF; Fan, JL; Du, JH; Shi, X; Zhang, J; Shen, YH",Intensified nitrogen transformation in intermittently aerated constructed wetlands: Removal pathways and microbial response mechanism,Constructed wetlands; Intermittent aeration; Construction waste; Microbial mechanism; Nmass balance,SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2018.10.037
"Nivala, J; Kahl, S; Boog, J; van Afferden, M; Reemtsma, T; Muller, RA",Dynamics of emerging organic contaminant removal in conventional and intensified subsurface flow treatment wetlands,Aeration; Constructed wetland; Micropollutant; P-k-C* model; Seasonality; Wastewater,SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2018.08.339
"Masi, F; Rizzo, A; Bresciani, R; Martinuzzi, N; Wallace, SD; Van Oirschot, D; Macor, F; Rossini, T; Fornaroli, R; Mezzanotte, V",Lessons learnt from a pilot study on residual dye removal by an aerated treatment wetland,Constructed wetland; Treatment wetland; Aerated wetland; Dye removal; Textile wastewater; Residual dye,SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2018.08.113
"Turker, OC",Simultaneous boron (B) removal and electricity generation from domestic wastewater using duckweed-based wastewater treatment reactors coupled with microbial fuel cell,Water treatment; Duckweed wastewater treatment systems; Microbial fuel cell; Boron removal; Electricity generation,JOURNAL OF ENVIRONMENTAL MANAGEMENT,10.1016/j.jenvman.2018.08.112
"Song, P; Huang, GH; An, CJ; Shen, J; Zhang, P; Chen, XJ; Shen, J; Yao, Y; Zheng, RB; Sun, CX","Treatment of rural domestic wastewater using multi-soil-layering systems: Performance evaluation, factorial analysis and numerical modeling",Rural wastewater; Multi-soil-layering system; Operating factors; Interactive factorial analysis; Stepwise-cluster inference,SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2018.06.331
"Soana, E; Fano, EA; Castaldelli, G",Estimate of gas transfer velocity in the presence of emergent vegetation using argon as a tracer: Implications for whole-system denitrification measurements,Air-water gas exchange; Argon; Emergent vegetation; Water velocity; Wetlands; Denitrification,CHEMOSPHERE,10.1016/j.chemosphere.2018.09.079
"Shen, J; Huang, GH; An, CJ; Song, P; Xin, XY; Yao, Y; Zheng, RB",Biophysiological and factorial analyses in the treatment of rural domestic wastewater using multi-soil-layering systems,MSL system; Microbial species diversity; Factorial analysis; Operating factors; Field design and application,JOURNAL OF ENVIRONMENTAL MANAGEMENT,10.1016/j.jenvman.2018.08.001
"Liu, HQ; Hu, Z; Zhang, YJ; Zhang, J; Xie, HJ; Liang, S",Microbial nitrogen removal of ammonia wastewater in poly (butylenes succinate)-based constructed wetland: effect of dissolved oxygen,Constructed wetland; Ammonia nitrogen; Poly (butylenes succinate); Dissolved oxygen; Microbial nitrogen removal,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,10.1007/s00253-018-9386-6
"Zhang, LL; Tang, Z; Zhang, SJ; Jia, XY; Yu, XF; Sun, GZ; Zou, YC",Effects of artificial aeration and iron inputs on the transformation of carbon and phosphorus in a typical wetland soil,Artificial aeration; Chemical elements; Fe; P concentration ratios; Wetland soil,JOURNAL OF SOILS AND SEDIMENTS,10.1007/s11368-018-1988-1
"Chance, LMG; White, SA",Aeration and plant coverage influence floating treatment wetland remediation efficacy,Phosphorus; Nitrification; Denitrification; Canna flaccida; Juncus effusus,ECOLOGICAL ENGINEERING,10.1016/j.ecoleng.2018.07.011
"Sochacki, A; Felis, E; Bajkacz, S; Nowrotek, M; Miksch, K",Removal and transformations of diclofenac and sulfamethoxazole in a two-stage constructed wetland system,Emerging organic compounds; Hybrid system; Pharmaceuticals; Phytotoxicity; Transformation products,ECOLOGICAL ENGINEERING,10.1016/j.ecoleng.2018.07.039
"Wu, HM; Ma, WM; Kong, Q; Liu, H",Spatial-temporal dynamics of organics and nitrogen removal in surface flow constructed wetlands for secondary effluent treatment under cold temperature,Nitrogen; Organics; Secondary effluent; Removal performance; Surface-flow constructed wetlands,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2018.06.004
"Mustapha, HI; van Bruggen, HJJA; Lens, PNL","Vertical subsurface flow constructed wetlands for the removal of petroleum contaminants from secondary refinery effluent at the Kaduna refining plant (Kaduna, Nigeria)",Constructed wetlands; Petroleum pollutants; Secondary refinery effluent; Treatment performance; Bioaccumulation; Translocation,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,10.1007/s11356-018-2996-9
