authors,title,keywords,periodical,id
"Liu, FF; Fan, JL; Du, JH; Shi, X; Zhang, J; Shen, YH",Intensified nitrogen transformation in intermittently aerated constructed wetlands: Removal pathways and microbial response mechanism,Constructed wetlands; Intermittent aeration; Construction waste; Microbial mechanism; Nmass balance,SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2018.10.037
"Masi, F; Rizzo, A; Bresciani, R; Martinuzzi, N; Wallace, SD; Van Oirschot, D; Macor, F; Rossini, T; Fornaroli, R; Mezzanotte, V",Lessons learnt from a pilot study on residual dye removal by an aerated treatment wetland,Constructed wetland; Treatment wetland; Aerated wetland; Dye removal; Textile wastewater; Residual dye,SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2018.08.113
"Zhang, LL; Tang, Z; Zhang, SJ; Jia, XY; Yu, XF; Sun, GZ; Zou, YC",Effects of artificial aeration and iron inputs on the transformation of carbon and phosphorus in a typical wetland soil,Artificial aeration; Chemical elements; Fe; P concentration ratios; Wetland soil,JOURNAL OF SOILS AND SEDIMENTS,10.1007/s11368-018-1988-1
"Sun, HM; Yang, ZC; Wei, CJ; Wu, WZ",Nitrogen removal performance and functional genes distribution patterns in solid-phase denitrification sub-surface constructed wetland with micro aeration,Vertical flow constructed wetland; Solid-phase denitrification; Aeration; Functional genes; Nitrogen removal,BIORESOURCE TECHNOLOGY,10.1016/j.biortech.2018.04.078
"Liu, XL; Zhang, K; Fan, LQ; Luo, HB; Jiang, MS; Anderson, BC; Li, M; Huang, B; Yu, LJ; He, GZ; Wang, JT; Pu, AP",Intermittent micro-aeration control of methane emissions from an integrated vertical-flow constructed wetland during agricultural domestic wastewater treatment,Intermittent micro-aeration; Integrated vertical-flow constructed wetland; Control of methane emissions; Oxygen transfer efficiency; Cyperus alternifolius L.,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,10.1007/s11356-018-2226-5
"Zhou, X; Gao, L; Zhang, H; Wu, HM",Determination of the optimal aeration for nitrogen removal in biochar-amended aerated vertical flow constructed wetlands,Biochar; Constructed wetlands; Intermittent aeration; Nitrogen removal; Nitrous oxide,BIORESOURCE TECHNOLOGY,10.1016/j.biortech.2018.04.028
"Freeman, AI; Surridge, BJ; Matthews, M; Stewart, M; Haygarth, PM",New approaches to enhance pollutant removal in artificially aerated wastewater treatment systems,Aerated constructed wetlands; De-icer contaminated runoff; Phased artificial aeration; Oxygen transfer efficiency; Organic pollutants; Freshwater ecosystems,SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2018.01.261
"Wang, CH; Wu, Y; Bai, LL; Wang, CL; Jiang, HL; Wei, ZX; Wei, XY; Yuan, ZC; Liu, X",Intermittent aeration incubation of drinking water treatment residuals for recycling in aquatic environment remediation,Drinking water treatment residuals; Recycling; Remedlation; Aquatic environment,JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2018.02.151
"Lyu, T; He, KL; Dong, RJ; Wu, SB",The intensified constructed wetlands are promising for treatment of ammonia stripped effluent: Nitrogen transformations and removal pathways,Alkaline wastewater; Constructed wetlands; Effluent recirculation; Microbial community; Isotopic composition; Intermittent aeration,ENVIRONMENTAL POLLUTION,10.1016/j.envpol.2018.01.056
"Boog, J; Nivala, J; Aubron, T; Mothes, S; van Afferden, M; Muller, RA",Resilience of carbon and nitrogen removal due to aeration interruption in aerated treatment wetlands,Aeration; Constructed wetland; Domestic wastewater; Aeration stop; System dynamics,SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2017.10.131
"Zhao, XH; Hu, YS; Zhao, YQ; Kumar, L",Achieving an extraordinary high organic and hydraulic loadings with good performance via an alternative operation strategy in a multi-stage constructed wetland system,Constructed wetland; High-strength wastewater; Anaerobic up-flow; Effluent recirculation; Tidal flow; Organic and hydraulic loadings,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,10.1007/s11356-018-1464-x
"Zhang, L; Lyu, T; Zhang, Y; Button, M; Arias, CA; Weber, KP; Brix, H; Carvalho, PN",Impacts of design configuration and plants on the functionality of the microbial community of mesocosm-scale constructed wetlands treating ibuprofen,Ibuprofen; Community-level physiological profiling (CLPP); Wetland plants; Horizontal subsurface flow; Vertical flow; Forced aeration,WATER RESEARCH,10.1016/j.watres.2017.12.050
"Zhou, X; Jia, LX; Liang, CL; Feng, LK; Wang, RG; Wu, HM",Simultaneous enhancement of nitrogen removal and nitrous oxide reduction by a saturated biochar-based intermittent aeration vertical flow constructed wetland: Effects of influent strength,Biochar; Intermittent aeration; Nitrogen removal; Nitrous oxide; Vertical flow constructed wetlands,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2017.11.066
"Zhang, XW; Hu, Z; Zhang, J; Fan, JL; Ngo, HH; Guo, WS; Zeng, CJ; Wu, YW; Wang, SY",A novel aerated surface flow constructed wetland using exhaust gas from biological wastewater treatment: Performance and mechanisms,Surface flow constructed wetlands; Intermittent aeration; Exhaust gases; Nitrogen transformation; Odor,BIORESOURCE TECHNOLOGY,10.1016/j.biortech.2017.08.172
"Fu, GP; Yu, TY; Huangshen, L; Han, JY",The influence of complex fermentation broth on denitrification of saline sewage in constructed wetlands by heterotrophic nitrifying/aerobic denitrifying bacterial communities,Constructed wetland; Salinity; Denitrification; Heterotrophic nitrifying-aerobic denitrifying bacteria,BIORESOURCE TECHNOLOGY,10.1016/j.biortech.2017.11.057
